Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
36;356709;119490;12356;105578;72788;240;17251
37;337895;108403;11276;101829;73430;247;16560
38;322736;99767;10747;98962;73205;247;15986
39;308215;90456;10552;95631;74118;238;15274
40;296042;80756;9852;92798;75011;145;16483
41;283240;74075;9130;91096;74283;181;15315
42;277180;69935;9157;88140;76253;243;15476
43;271344;65177;8918;87553;75794;161;16152
44;274239;63629;9983;88934;76819;134;17291
45;277629;62738;9625;91208;79146;154;17716
46;283881;60144;9847;96262;82589;149;17697
47;290369;60015;10234;99855;85445;141;17259
48;296432;59445;11773;101642;87830;159;18210
49;310660;58693;14005;108777;91436;170;20127
50;324756;60026;16457;112881;96383;171;21796
51;356235;63438;18191;125614;105205;222;25991
52;375921;64662;19437;131923;112632;164;29600
53;393078;65699;20100;139395;115640;274;33937
54;388580;64516;19379;135967;113713;192;38307
55;397338;64145;18288;140158;115573;290;42715
56;390504;61539;15760;140279;112779;280;44486
57;383882;58263;16141;139632;110487;253;45228
58;372173;55576;13949;138142;105969;198;45757
59;373818;55225;13297;136804;108717;336;47457
60;354088;54391;13968;127435;99813;267;47432
61;336603;52799;12456;120782;92391;222;48148
62;321496;50544;11782;116026;84971;300;48987
63;304651;47761;11488;109830;77357;288;49662
64;280187;46534;10600;98983;68152;289;48709
65;205914;34416;7432;70588;47459;276;40748
66;181206;29520;6354;60957;39532;232;40017
67;184490;29769;6019;58590;39733;357;45687
68;168091;27165;5029;52053;32449;175;47467
69;174072;27161;5078;53593;31013;366;52797
70;173822;25399;4520;55354;29110;383;55040
71;180659;27587;4400;57403;30269;416;56342
72;172384;24206;4036;56256;28619;440;55039
73;167386;22790;3632;55156;26702;519;54849
74;165818;22200;3287;56062;25306;602;54793
75;160392;21527;2607;53976;23276;617;54686
76;148576;18885;2152;48949;20942;732;53435
77;140776;17544;1842;46759;18368;805;52075
78;133927;16268;1749;42567;16506;883;52602
79;130496;15864;1623;39380;14501;1225;54540
80;125038;14992;1460;35929;13048;1259;54937
81;110005;12390;1199;28366;11475;910;52426
82;96919;10587;860;24340;9936;915;47569
83;83272;8809;956;19517;7508;683;43352
84;73254;7037;561;16926;5671;823;39540
85 lat i więcej;315357;25853;2653;65832;20467;4345;180587
Mężczyźni;9451103;1882481;175063;3022283;2342066;467886;996269
15 lat;117111;0;0;0;0;5678;106242
16;125379;0;0;0;0;78345;40106
17;132797;0;0;0;578;112503;12745
18;137306;0;0;9824;3441;109880;7928
19;147414;0;687;52906;12068;67837;6357
20;157225;188;1039;94280;18178;28765;5708
21;160663;857;2139;108328;17126;15766;5932
22;165910;17925;3625;98173;16851;12528;5926
23;174118;30451;4722;91543;18091;10980;5825
24;178814;44125;5472;81936;18503;9153;5809
25;192163;59162;6025;76071;22520;4597;8018
26;203031;67251;5995;74693;25483;1935;9875
27;211744;74306;6631;71347;28482;929;10287
28;209573;74013;5679;67210;30799;589;11053
29;200342;69543;5452;61798;31962;457;10519
30;201603;70522;5086;59984;33598;369;10234
31;203367;70384;4600;60747;36559;286;10555
32;198993;66394;4235;60316;37873;259;10397
33;192961;63077;4284;57991;40170;126;9916
34;193883;60442;4157;58858;42757;223;10595
35;186922;55252;4229;57586;44418;150;9471
36;178676;50161;3828;54066;46157;89;9744
37;169535;45782;3292;51761;46105;171;9353
38;161603;42071;3097;50829;45257;161;8782
39;153678;37757;3089;47653;45973;87;8031
40;147129;32937;2477;45849;46615;69;8674
41;140381;30276;2359;45102;45494;91;7602
42;137053;28131;2363;42557;47203;120;7644
43;133320;26326;2280;41560;46643;100;7787
44;134078;25853;2490;41553;47283;46;8214
45;135717;25528;2299;42129;48704;74;8635
46;137717;23579;2760;43345;50546;40;8800
47;140121;23536;2539;45045;51872;67;8419
48;142409;22826;3087;46050;52997;101;8569
49;148653;23206;3254;48226;55861;83;9181
50;153944;24514;3879;49000;58305;104;9597
51;167777;26494;4240;53239;63371;112;11491
52;177024;26984;4200;55599;68145;74;12944
53;183688;28154;3952;58898;68822;144;14706
